ticker1,ticker2,score,traza,critico,p_value_eg,n_obs
FSLR,TEL,1.613,24.9919,15.4943,0.0085,272
APP,FSLR,1.5074,23.3567,15.4943,0.016,272
ROP,TYL,1.4834,22.9849,15.4943,0.0046,272
SMCI,ZBRA,1.4339,22.2175,15.4943,0.0066,272
APH,ZBRA,1.3424,20.7995,15.4943,0.022,272
AVGO,NVDA,1.3201,20.4534,15.4943,0.0216,272
CTSH,EPAM,1.3167,20.4016,15.4943,0.0116,272
SWKS,SMCI,1.2496,19.3618,15.4943,0.0082,272
CSCO,INTC,1.2364,19.1569,15.4943,0.0308,272
KEYS,NOW,1.1894,18.4296,15.4943,0.0082,272
ADI,NOW,1.1889,18.4215,15.4943,0.0001,272
AKAM,NOW,1.1673,18.0857,15.4943,0.0016,272
CDW,INTC,1.1553,17.9013,15.4943,0.0057,272
CDW,COHR,1.1451,17.7426,15.4943,0.0016,272
KLAC,WDC,1.1439,17.7232,15.4943,0.0051,272
CRWD,QCOM,1.142,17.6952,15.4943,0.0142,272
APH,SWKS,1.1349,17.5845,15.4943,0.0349,272
MCHP,TXN,1.125,17.4318,15.4943,0.0374,272
AKAM,ADSK,1.1218,17.3812,15.4943,0.0332,272
AKAM,WDAY,1.1133,17.2497,15.4943,0.0157,272
APH,VRSN,1.107,17.1526,15.4943,0.0223,272
APH,PTC,1.0963,16.987,15.4943,0.0479,272
NOW,TYL,1.094,16.9502,15.4943,0.0147,272
CDW,MU,1.0921,16.9213,15.4943,0.0017,272
COHR,NOW,1.0898,16.8853,15.4943,0.0098,272
CDW,STX,1.0657,16.512,15.4943,0.0134,272
AKAM,INTU,1.0616,16.4486,15.4943,0.0405,272
TEL,VRSN,1.0605,16.4316,15.4943,0.0315,272
CRWD,PANW,1.0584,16.3994,15.4943,0.0478,272
KEYS,WDAY,1.0534,16.321,15.4943,0.0047,272
APH,HPQ,1.0243,15.8707,15.4943,0.0322,272
CDW,WDC,1.0112,15.6679,15.4943,0.0052,272
CDNS,SWKS,1.0046,15.566,15.4943,0.0246,272
